review_text,rating,owner_response
I hired Fields Law Firm once I became too sick to work. Pat Kramer was my lawyer and from the get go took control and made me feel at ease. He answered any questions I had and handled the tricky paperwork. I would 100 percent recommend Fields Law Firm.,4,
My experience was really good with the law firm. I not only got my case handled but got more than expected out of it. The only reason I did not give 5 stars was because there were points where we didn't have contact for a while and I was unsure what was going on during that time.,4,
"The staff at Fields Law Firm were very helpful for me in navigating the process of filing for SSDI for my husband. It was nice to not have to worry about what I needed to do, and what was to come next.",4,
"Had to switch attorneys within the firm and initially was very unhappy with the service I was receiving. Changing my review from 1 star to 4 stars simply due to the exceptional work my new lawyer and paralegal have done for me. Absolutely love the strength, drive and passion and feel confident in their work.",4,
"I contacted Fields Law Firm when I needed help the most. Being new to the system, I got frustrated with the insurance until I met Zachy. He did an excellent job and I finally got justice. I am grateful.",4,
"Zach, with Samantha, Angela, and Jennifer did a great job informing and representing me. They were informative, met deadlines, were fair, clear, concise, and kept me advised.",4,
"Paralegal Allison was very unhelpful. I had to call three times over two weeks to get an answer that took them less than 5 minutes.",2,
Disappointed with the consultation. I felt like he wasn't providing a lot of information in regards to helping with my work permit. I came in and left with $100 less and little to no new information.,2,
"I was satisfied with the whole process and got a favorable decision. However, the whole time I was told that the maximum they would take out of my settlement would be $6,000. I happened to call social security and was told that the lawyer took over $9,000 which no one from the lawyers office called to tell me.",2,
"I never spoke with my lawyer, only paralegals. I wasn't listened to, I was spoken over and they ran my SSI for medical issues and not mental health like I asked due to my PTSD. I was chastised for accidentally blocking the office number.",2,
The lawyer didn't contact the client at all. He didn't seem to care.,2,
"Andrew Kinney of hoglund law is nothing short of excellent, he got me through one of the toughest times in my life. Andrew Kinney is caring and considerate to your needs.",3,
"They were very good at returning your call. When you had questions they answered them within a day. Felt a little impersonal as my contact changed multiple times. They did get it done.",3,
"I went through them to apply for social security disability. Kong was very understanding and helped me through paperwork. Then the denial came. I called to inquire about appeals. Overall frustrating experience with communication delays.",3,
"Responses to questions are EXTREMELY slow. The paralegals are not efficient. Lack of communication on their end. The lawyer was way better than the paralegals. Paralegals would receive zero stars.",3,
"I had a five star review, but between the lack of communication and just being mocked by someone in the background of a call I have to drop a couple of stars.",3,
My review is mixed. I had expressed a couple times I didn't feel communication was very good at times. But other times I would get someone that could answer all my questions. Depends on who you're dealing with.,3,
"The communication I had received in the beginning was terrible, questions went unanswered. Some people might be anxious going through stuff so asking questions and not getting answers is difficult.",3,
"If you expect them to help you with Student Loan Discharge, you thought wrong. They just want money from you and want you do all the work.",3,
My attorney today did an excellent job.,3,
Does not consider taking those with less visible disabilities.,3,
"I agree with others. If your disability isn't visible, don't waste your time.",3,
Hoglund Law did a masterful job handling my business needs. I would highly recommend them to others.,4,
"Andrew called me a few days prior to my hearing to discuss how things would go and what to expect, and then again about 20 minutes before the hearing. I was glad to have an attorney to speak for me. He was able to relay to the judge exactly what I intended.",4,
"Andrew Kinney did a great job reaching out to me, informing me before and after court proceedings. Would highly recommend him.",4,
From the experience with these attorneys and their staff this far has been great. Mr. Kinney and his staff are great. Thanks for your representation.,4,
"Working with Andrew Kinney was a game-changer in my social security case. His deep understanding of the legal complexities, coupled with his dedication to my case, hopefully will make a significant difference in the outcome.",4,
"Andrew Kinney is by far the best attorney, he is so very easy to work with and understand. He works for Hoglund law firm and I would refer Hoglund to all my family and friends.",4,
"The customer service is amazing, people picking up the phone are very nice. My attorney was incredibly helpful and professional.",4,
My attorney at this law firm was very helpful with getting my social security disability approved. I felt him and all the staff did everything in their power to make me feel comfortable and showed their support even to the end.,4,
My attorney Andrew Kinney was very professional and knowledgeable. He knew what was coming ahead of time and explained everything to me as we were at the hearing. Everything went well because of Andrew.,4,
Easy to work with and they communicate well what information is needed along the way to make sure your case is ready on time.,4,
"I wasn't planning to leave a review, but after today I'm done. I hired Hoglund for a criminal matter. I was given guidance that ultimately cost me over $1,000 and wasn't fully explained. My case was delayed nearly five months, only to end in a plea deal that likely could have happened much earlier. I was contacted six months after my case was settled and told I still owed money.",1,
"Paid $2400 cash to retain Robert Hoglund plus filing fee just to end up in bankruptcy court to pay the trustee more money. The staff are rude, don't return calls, and only want to respond through emails at their convenience. The entire process was a huge headache.",1,
If I could go after them for misrepresentation I definitely would. Shortly after becoming my attorney I had to call offices and judges myself because my attorney would always say they were waiting. They stopped working when they got paid. I had to do the legwork my attorney never did.,1,
Would not recommend to anyone! This law firm did not turn in medical records and is horrible with communication. I went 2 and a half years to lose all because my medical records were not turned in.,1,
"Communication was bad, didn't solve anything with my case, only wasted a year of my time and money. Still lost my license.",1,
Called to get help and the person on the phone got every little detail of my personal life for 45 minutes only to be told while still on the phone that they won't work with me. But won't explain why and give you the run around.,1,
"Lawyers and associate are not caring at all. Waited 2 years and only heard from them 2 or 3 times. Only heard from the actual attorney a day before the hearing. They didn't even get all my health information that they were supposed to.",1,
Holland attorneys would not help because it wasn't worth the money they would collect. They want only the big and quick cases that make the most profit. They are in it only for profit.,1,
"Horrible appointment setup, phone tag, and no one seemed to know I had an appointment set up. Had to repeat the same information many times to many different people only to find out they're not even licensed in my state.",1,
"Completely disappointed – do not trust this firm with your disability case. They failed me during my appeal. Multiple calls were canceled or no-showed, communication barriers made it impossible, and no attorney ever really reviewed my case or spoke to me.",1,
This law firm has a concerning track record of turning down potential clients without conducting a proper evaluation of their cases.,1,
"Keri Dennis, one of the staff who returns calls, is rude and has zero compassion for clients and what they are going through. Complete attitude every call. I do not recommend this firm.",1,
They have a review screening for checking to see what cases are easy wins and which require them to actually work. I was turned down based on a fraction of the total information.,1,
Over two years and still waiting. I have not received any information about my case. Whenever I call I get attitude. They have no answers for why it is taking this long.,1,
"Waste of time. Had me on hold 20 minutes to tell me they couldn't take my case, without even hearing what it was about.",1,
Contacted Hoglund to help with disability case. They said they would. Took all my info and had me sign papers to retain them. My assigned agent will never return my calls after several attempts.,1,
Everyone involved with this law firm could use some sensitivity training. They have no idea how to deal with a client that has anxiety and brain issues that affect their memory and thought process.,1,
"Absolutely horrible. I had set up an appointment and wanted to show a piece of paper in person, but I was rudely accused of not saying anything like that over the phone and blamed for not coming in when that's what I wanted in the first place.",1,
Worst experience I've had with a law firm. You can't ever talk to an actual lawyer. A paralegal is assigned to your case. Horrible experience.,1,
"Just demands money, will not answer simple questions. Aaron specifically was unprofessional. Did not offer to find someone to answer any questions.",1,
"Horrible. We barely had communication with the lawyer and when we did he was very rushed. The communication from staff was by far the worst. I absolutely hated our entire experience. Save yourself and go somewhere else.",1,
Was in a car accident. I felt the lawyer I had didn't help me enough to have my back in everything. It seems like it was a case where it wasn't worth the time to help me.,2,
"They only help if they can find money in your case, other than that you are dead to them.",2,
"I wish I could say great things like other reviews. In the year I was with them, I was the only one making the main calls to check up on my claim. My case manager barely explained things. I felt like I was just being treated as another number.",2,
"Outcome was great, disability approved. Cons: I was never once offered a chance to meet anyone in person, messages were not returned sometimes for several days, and I did not know who was representing me on the final hearing until 1-2 weeks before. I always felt like a number, not a person.",2,
"I am a former client of SGS. Be prepared: this process is about money, not justice or principle. Through a wrongful death claim, promised charges were never filed, I uncovered critical pieces of evidence myself, and we were pushed into mediation and settlement we didn't want. Profit is number one.",2,
Cody Scharph is fantastic! Did what she was asked with no attitude in a very timely manner and got me a settlement in less than the time it was supposed to take. She took the time to answer my questions as the case was progressing.,4,
Peter Riley and his secretary and assistant are awesome. I was at my very bottom and my world had turned upside down. They assisted me with my case and got me all the help to recover from my accident.,4,
"Kojo was very pleasant to work with, and always helped me with all my questions. Shannon Carey handled my auto accident case with grace and patience. In the end I received a fair settlement.",4,
I am giving this review 4 stars because things started off a little shaky. Overall it was a great experience. Robert Hoglund explained everything to me so I knew exactly what to expect from beginning to end.,4,
"I had an amazing experience with Ms. Tracy Kinney. She thoroughly reviewed over 50,000 pages of records and pointed out for the judge which page gave an example summary. She was very knowledgeable and followed up before and after the hearing.",4,
"After being denied for SSD, I decided to hire Hoglund Law and from the very first day I knew I was dealing with professionals. They answered all my questions and kept me informed until the day I was approved.",4,
They answer your questions and return your calls. An attorney was very nice and helpful when you are answering questions in a hearing. I would recommend him and the firm.,4,
I came to Hoglund Law for help and although it took a while I was able to get the assistance I needed to finally win my case. Thanks to all of the hardworking people and my attorney.,4,
The hearing went very well. It sounded like you were prepared. The only problem for me was that I didn't know who was handling my case at times.,4,
A person needs to have patience as this is a long process. My end result was very satisfying and I was pleased with the lawyer who helped represent me. It was a win for me.,4,
They responded quickly and confidentially. They were honest and very generous with their time. I recommend them.,4,
"They answered the phone and returned my calls, diligent service, answered my questions, and gave me a feeling someone was looking out for my best interest.",4,
