review_text,rating,owner_response
The legal advice was sound but the initial consultation felt rushed. Would appreciate more time with the attorney upfront.,3,
Expected more regular updates given the complexity of the matter. The final outcome was acceptable.,3,
Service was average. Some billing entries were unclear and I had to request a corrected invoice.,2,We sincerely apologize for the billing confusion and have corrected the invoice. Thank you for flagging it.
Disappointed with the lack of responsiveness. Multiple emails went unanswered for over a week during a critical phase.,2,
The attorney did not seem fully prepared for the mediation session. We had to provide reminders about key facts in our file.,2,We take preparation standards seriously and this has been addressed internally. We apologize for the experience.
Fees were significantly higher than the initial estimate with no explanation provided. I felt blindsided at invoicing.,2,
Communication completely broke down in the final month of our engagement. We learned about key developments from the other party.,2,We sincerely apologize. This is not the standard we hold ourselves to and we are investigating what occurred.
The outcome was poor and I do not feel the representation was adequate for the complexity of the matter.,2,
"Slow, expensive, and difficult to reach. We expected more given the firm's reputation.",2,
Staff at the front desk were dismissive during our initial visit. It set a poor tone for the entire engagement.,2,We apologize for this experience. Front-of-house conduct is being reviewed and addressed.
The case took three months longer than projected with no explanation. The delay caused real hardship for our family.,1,
I was overbilled by a significant amount and the firm was not forthcoming about correcting it until I escalated.,1,We have issued a corrected invoice and a partial credit. We are sorry for the distress this caused.
"My calls were not returned for two weeks. When I finally reached someone, they had no familiarity with my file.",1,
The attorney we engaged left the firm mid-case and we were given no warning and no transition plan.,1,We apologize for the disruption. A transition protocol has since been put in place to prevent this outcome.
Billing disputes were handled rudely. I felt like a burden rather than a client when I raised legitimate questions.,1,
Missed a filing deadline that set our case back by months. The firm offered no explanation and no reduced fee.,1,We sincerely apologize for this failure. Steps have been taken to prevent recurrence and we have discussed remediation.
Zero empathy from the lead attorney. My questions were dismissed and I felt talked down to throughout the process.,1,
The settlement offer was accepted without our explicit approval. We only found out after the fact.,1,
I was billed for a consultation that I was told would be complimentary. The discrepancy was never adequately explained.,1,
Our files were lost during an office move and the firm showed little urgency in reconstructing them.,1,We deeply apologize. File integrity is a fundamental obligation and we failed you. This has been escalated internally.
Our family trust was drafted with an error that we only discovered independently. The firm showed no urgency to correct it.,1,
Responsive and thorough during our commercial lease negotiation. Would engage the firm again without hesitation.,5,
The team understood the nuances of our industry-specific compliance issue immediately. Saved us significant time.,5,Thank you. We enjoy working on complex matters with clients who are deeply engaged in the details.
Handled our landlord-tenant matter efficiently and with clear advice at each step.,4,
Our personal injury claim moved faster than expected. The attorney explained every decision before acting.,4,
The firm was straightforward about what our case was and was not worth pursuing. I appreciated the honesty.,4,We believe honest counsel serves our clients best even when it is not what they hoped to hear.
Reasonable fees and good communication throughout our employment contract review.,4,
Needed help with a time-sensitive NDG and the team turned it around within 24 hours. Exactly what we needed.,5,Time-sensitive matters are something our team takes seriously. Glad we could help.
Good overall experience with our business formation. Would appreciate a follow-up checklist of annual compliance items.,4,
The firm navigated a complex multi-party dispute with calm and clear strategy. All parties reached agreement.,5,
Follow-up after our case closed was appreciated. It showed the firm cared about more than just the billable hours.,5,Staying connected with clients after a matter closes matters to us. Thank you for noticing.
Staff went out of their way to accommodate our schedule during a demanding period. Small thing but it meant a lot.,5,
Legal fees were reasonable and fully explained upfront. No surprises on the final invoice.,5,Transparent billing is a core commitment. Thank you for highlighting it.
The partner assigned to our acquisition was accessible and decisive. Exactly what the transaction required.,5,
Minor miscommunication early in the engagement was resolved quickly. Good recovery and strong finish.,4,We appreciate you noting that. How a team responds to early bumps matters as much as the start.
