review_text,rating,owner_response
"Where do I start with this review. We were referred to McNamee & Maheney Ltd. by a close friend and contacted them right away, gave our deposit and we never heard from them for over a year. We tried and tried to contact the office and always got told that our message was left for our lawyer, come to find out he did not even work there anymore and our case was forgotten about. We tried for another couple months to get answers and got nothing. We finally got an appointment, when we showed up they said the lawyer was on vacation and we still could not get our deposit back, and they would send a check in the mail. Two weeks went by and I called to see if it was in the mail, and they had not sent it and would put in directly in our account, finally three days later it was there. So bottom line if you want to get ignored and forgot about go with McNamee & Mahoney, but save your money and find another lawyer!",2,
"Professional, likeable, accessible and honest",4,
Don't know the outcome yet,3,
"We submitted all of the paperwork for our living will and trust and after six weeks, nothing was completed at all. After following up a month and one half later, we found that nothing had been worked on. When we questioned the status, we were told that “we never gave a timeframe”. We ended up going with a different provider.",2,
"It was a fantastic experience working with the Baudin Law Group!! They are like family and still feel that way. Randy , Kelly and Myrna you guys are the best! We appreciate everything you guys did for our family.",5,"Al, thank you so much for the kind words! It was a true privilege to stand by you and your loved ones; we really do consider you all a part of our family here. We never take for granted the trust you placed in us to help navigate your case. We hope you all have a wonderful holiday season and that 2026 is your best year yet! If you ever need anything at all, please don’t hesitate to reach out. Wishing you the best, Randy, Kelly, Myrna, and the rest of the staff at the Baudin Law Group, Ltd."
"I hired Dane Loizzo as my third attorney during my divorce case. Within just three weeks, Dane racked up over $7,000 in charges, many of which appeared inflated, before withdrawing from my case without achieving any meaningful progress. Dane’s father, Tom Loizzo, is a well-regarded attorney with a strong reputation, and my mother has worked with Tom for decades. However, my experience with Dane was entirely different. He failed to provide value, transparency, or support. Based on my experience, I would not recommend Dane Loizzo for any divorce-related matters.",1,
I was billed for a consultation that I never knew wasn’t free! I was made aware of the per hour rate but not that the consultation was being billed! The attorney I spoke with was not very knowledgeable and I came out of the meeting without really knowing much more that what I had already googled. Then they charged me $250!? I would be concerned what else they might charge for and not disclose. The other attorney in Burlington I met with was a FREE consultation and they actually provided me with additional information I never would have thought about! Go with the “other” attorney in Burlington not these people.,1,"We are sorry for any confusion, Theresa, but you were informed of the fee before scheduling and during the consultation. At no time were you told the consultation would be free."
Pleasure to work with,4,
"My husband and I both sold and purchased a home simultaneously. We could not have navigated through the legal side of things without the help of Shannon Wynn and staff, at Wynn at Law, LLC. Wynn at Law was with us every step of the way, with ease and genuine concern. They were always available for any questions/concerns we had and they responded very quickly. We recommend Wynn at Law, for expertise, vast legal knowledge, and for a commitment to their clientele that is rare to find today.",5,"Thank you for trusting us with such an important transition. Selling and buying at the same time can feel overwhelming, and I’m glad we could make the legal side feel manageable and straightforward. It was truly a pleasure working with you, and we’re grateful for the trust you placed in Wynn at Law, LLC. Wishing you all the best in your new home — and please feel free to reach out anytime if you need us."
Very professional atmosphere if you need a lawyer,4,
Got the job done and won so to speak,4,
Very polite staff! Would recommend!,5,
"I don't know who left a 1 star for this guy! I had to retain Scott several years ago and recently referred someone to him because he will actually give you his time for FREE over the phone! Scott will give you the best case scenario and worst case scenario without taking your money! I myself and people I have referred have never actually had an attorney get on the phone and lay it all out. Thanks Scott for being a good, honest, attorney!",5,
Friendly staff. Closed our house on here.,4,
Good advice,4,
Did not totally procure all evdence related to my case!,2,
"4.5 Star Rating! The stars above did not give me that option. The short story is I hired Attorney Mehlos to help me fight a battery charge. The real story is Corey helped me through the worst year of my life. The short: I was being attacked and called the police. When they arrived I did not want the ""attacker"" arrested, because it was really just an argument that went to far and I was not injured. That being the case I did not say anything other than ""Thanks for coming. Everything is okay"". Unfortunately the other party was very mad and completely lied to the police and I was arrested. I was innocent and it was frustrating because they also too things that were said completely out of context. From day 1, Attorney Mehlos and I came up with a plan and continued to refine our strategy until the prosecutor dismissed the battery charge, before we were to go to trial. It took 12 months to get it done and it nearly killed me. Obviously there is a lot more to it, but I am not writting a book! LOL There was a lot of back and forth with the Prosecutor Assistant D.A. and the Judges. It was completely overwhelming at times to be an innocent man who has never been convicted of any crime and yet it seemed that everyone except Attorney Mehlos assumed I was guilty. It was comforting to know that Attorney Mehlos was confident and prepared to win at trial. The prosecutor eventually released knowing he’d have a tough case. Yet on multiple occasions Attorney Mehlos told me to trust him and the result was exactly what he predicted. I highly recommend Attorney Mehlos for any criminal case. Sincerely, Jeff R. Brownell Owner & Operator TaskMasters Home Services LLC",4,
"In January of 2023, after a 26 year untarnished and successful career as a firefighter/paramedic and 12 years as an adjunct fire instructor, I was falsely accused, charged and arrested for 5 different counts which consisted of both felonies and misdemeanors ranging from 4th degree sexual assault of a child to misconduct in office. During the 5 days I spent in jail, my wife received a recommendation to call attorney Corey Mehlos. That decision turned out to be the one that saved my life both literally and figuratively. The passion, professionalism, determination, dedication and commitment not just from Corey, but his entire staff is second to none. He never gave up on me or my family and after nearly 3 long years, his tireless work ended with an absolute domination in the court room. I was found not guilty and cleared overwhelmingly on all charges. This man is the absolute definition of what a defense attorney should be. He is truly fearless, and I wouldn’t hesitate to recommend him to anyone and every one who finds themself in need of legal assistance. Casper Mehlos law firm is THE REAL DEAL",5,John; Thank you very much for your review! We could not be more happy that we were able to work with you to completely exonerate you of all charges at your jury trial this last week! We are sorry that you had to go through a three year nightmare of being falsely accused with such serious crimes the jury unanimously found you Not Guilty of committing. We appreciate your positive feedback for Attorney Mehlos and our team. It's been a pleasure getting to know you and your family. We look forward to staying in touch and doing whatever we can to help you as you move forward with your life. Thank you for trusting us and don't hesitate to let us know if you need anything. Stay in touch and all the best! --The Team at Casper Mehlos Law Group
