record_id,collection_batch,firm_name,review_rating,source_platform,state,practice_area_primary,weak_slice_tags,dataset_role,benchmark_candidate_flag,holdout_flag,audit_only_flag,sentiment_mix_tag,candidate_reason,human_review_status,label_status,labeler,label_reviewed_at,expected_labels_json,truth_decision_note
sterling_20260328_jessicabcookie_1,20260328_phase1,"Sterling Lawyers, LLC",1,google_maps,WI,family_law,low_star_contact_failure;low_star_expectation_break,corpus_only,false,false,false,negative_single_tone,"Downgraded. Clear complaint, but too short and thin to carry benchmark-driving pressure on its own.",reviewed_candidate_subset,downgraded_to_corpus_only,parent_agent,2026-03-28,[],"Downgraded. Clear complaint, but too short and thin to carry benchmark-driving pressure on its own."
sterling_20260328_nickzimpel_1,20260328_phase1,"Sterling Lawyers, LLC",1,google_maps,WI,family_law,low_star_contact_failure;low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,audit_only,false,false,true,negative_single_tone,"Overloaded low-star narrative mixing paperwork, outcome, billing, and responsiveness in a way that could create noisy truth pressure.",triaged,audit_only,,,,
sterling_20260328_kylierinderman_1,20260328_phase1,"Sterling Lawyers, LLC",1,google_maps,WI,family_law,low_star_contact_failure;low_star_expectation_break;long_form,benchmark_candidate,true,false,false,negative_single_tone,Kept. Strong one-star family-law row with explicit nonresponse and serious representation failure.,reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""communication_responsiveness"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""NEVER returned emails""}, {""theme"": ""professionalism_trust"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""didn?t even show up for my hearing""}, {""theme"": ""professionalism_trust"", ""polarity"": ""negative"", ""severity"": ""negative"", ""evidence"": ""She was very disrespectful""}]",Kept. Strong one-star family-law row with explicit nonresponse and serious representation failure.
scottsdalefamilylaw_20260328_jasonthibodeau_1,20260328_phase1,Scottsdale Family Law,1,google_maps,AZ,family_law,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,audit_only,false,false,true,negative_single_tone,Emotionally charged low-star narrative with hyperbolic language and multiple overlapping trust versus outcome complaints.,triaged,audit_only,,,,
scottsdalefamilylaw_20260328_janninehedger_2,20260328_phase1,Scottsdale Family Law,2,google_maps,AZ,family_law,low_star_expectation_break;trust_vs_outcome_ambiguity,holdout,false,true,false,negative_single_tone,Clean two-star disappointment and follow-through row worth saving for later blind evaluation.,triaged,reserved_holdout,,,,
yourfamilylawcenter_20260328_meganwigtion_1,20260328_phase1,"Your Family Law Center, S.C.",1,google_maps,WI,family_law,low_star_contact_failure;low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,audit_only,false,false,true,negative_single_tone,"Very rich but overloaded row with communication failure, conflict issue, billing, and privacy-breach facts that need careful human truth handling.",triaged,audit_only,,,,
yourfamilylawcenter_20260328_trevornetti_1,20260328_phase1,"Your Family Law Center, S.C.",1,google_maps,WI,family_law,low_star_contact_failure;low_star_expectation_break;long_form,benchmark_candidate,true,false,false,negative_single_tone,Kept. Still sharp enough for later truth review because the communication failure is explicit and central.,reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""communication_responsiveness"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""not inform me about a warrant""}, {""theme"": ""professionalism_trust"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""they will take your money and screw you""}, {""theme"": ""expectation_setting"", ""polarity"": ""negative"", ""severity"": ""negative"", ""evidence"": ""not following through""}]",Kept. Still sharp enough for later truth review because the communication failure is explicit and central.
cordell_20260328_kimberlyweddle_2,20260328_phase1,Cordell & Cordell | Family Law & Divorce,2,google_maps,WI,family_law,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,benchmark_candidate,true,false,false,negative_single_tone,Kept. Strong two-star representation-failure row with concrete filing and court-impact facts.,reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""expectation_setting"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""did not file the paperwork that needed to be submitted""}, {""theme"": ""outcome_satisfaction"", ""polarity"": ""negative"", ""severity"": ""negative"", ""evidence"": ""the mistakes made in court will cost us greatly""}]",Kept. Strong two-star representation-failure row with concrete filing and court-impact facts.
cordell_20260328_josepharsenault_2,20260328_phase1,Cordell & Cordell | Family Law & Divorce,2,google_maps,WI,family_law,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,holdout,false,true,false,negative_single_tone,Strong two-star family-law row with expectation and trust-versus-outcome tension suitable for later holdout testing.,triaged,reserved_holdout,,,,
cordell_20260328_bobbialbro_2,20260328_phase1,Cordell & Cordell | Family Law & Divorce,2,google_maps,WI,family_law,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,corpus_only,false,false,false,negative_single_tone,"Useful low-star fee-value complaint, but too generic for first benchmark-prep pressure.",triaged,corpus_only,,,,
matiasrueda_20260328_pedro_4,20260328_phase1,Matias Jose Rueda,4,avvo,TX,family_law,mixed_4_star,corpus_only,false,false,false,mixed,Thin 4-star row that helps corpus breadth more than benchmark truth.,triaged,corpus_only,,,,
matiasrueda_20260328_isaac_4,20260328_phase1,Matias Jose Rueda,4,avvo,TX,family_law,mixed_4_star;explicit_positive_trust,benchmark_candidate,true,false,false,mixed,"Kept. Useful mixed four-star divorce row with explicit trust and responsiveness language, while staying out of praise-only inference.",reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""professionalism_trust"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""Knowledgable and dependable""}, {""theme"": ""communication_responsiveness"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""kept me informed through different types of media""}]","Kept. Useful mixed four-star divorce row with explicit trust and responsiveness language, while staying out of praise-only inference."
robertafay_20260328_sarah_4,20260328_phase1,Roberta Sue Fay,4,avvo,OH,family_law,mixed_4_star;explicit_positive_trust,audit_only,false,false,true,mixed,Recommendation-style praise and endorsement framing make this a benchmark-design ambiguity rather than a clean rule-driving row.,triaged,audit_only,,,,
